Comment,is_positive
I paid for the game and I can't even open the doc to get tape out of fix please I just wasted money on this games won't do that again deleted,0
I love this game on the 360 but there needs to be d pad and not swipe controls so fix that plz google play,1
Ok but not so good Adds come in every round and it disturbs us,0
Fault alert Love the app but for the last 5 days been getting no arsenal updates see the stream is working on the mobile site though ... Sort it out lads,0
Pay to win I paid for the app. Why are there still in app purchases. It's one or the other.  Complete rip off.,0
Hey For,1
Great rally racing game. There is a lack of tracks but I'm not going to mark it down for that as it is a brilliant game with hopeful physics.,1
"The perfect game to practice my kitchen prowess This app is perfect. Since I am a woman living in the kitchen, this gam  e hits really close to home. AWESOME",1
"Stopped working Have had snapchat for over a year now, never too many issues, but now it wont open at all so having to uninstall it",0
Love it If I could only get notifications from lists.,1
"Crasha ogni tre per due. Crasha troppo spesso,  bah",0
Awesome app My kids love it. Fun and easy learning,1
"Not fast enough Very frustrating. When I open the app it takes forever before I can actually Shazam a song Ever since the new update when the stupid welcome screen appeared, it takes forever. So annoying",0
"CAN'T FOLLOW ANYONE. This is ridiculous as hell. I can't follow people or even post publicly on my own profile because everything is always glitched. I like google, but this is just now starting to tick me off. FIX THIS BUG.. the update did nothing",0
"Need help I emailed the support already, and waiting for response. This app closed itself after some black screen, really disappointed.",0
This update has a big problem I Open it and it's closed automatically... plz fix it cause i really missing it. Can't play the game,1
Great game Great game. Finished it three times on my old phone. Just re installed it on the new one and going play through again. The only thing I would like is the option to turn off the check points when you are trying to nail that three star,1
Lamia yes I can try again yes ok Dbhefb fhx,0
The best Twitter client for Android Functional and beautiful,1
Buttjie What we have been waiting for as consumers . We are now empowered,1
B This game is bull uninstalling. Works fine update can't load loads kicks out send email minor bug fixes same problem. Least DoubleU Casino fixes issues This game waste of space unless on laptop or computer.,0
"Forces closes I try to open it and it closes as soon as i open it, it shows black screen then goes to my homescreen",0
"Cool game Really. Cool game.  There is one issue though. The prices are way to high, I can't even afford to pay for a pair of jeans",1
Good ones ......huh. ..hhhaaaaahh. .vg good coolb.r.,1
Waste of time. Don't bother downloading it doesn't pay out. The reels constantly change and I'm not wasting any more money on it. Complete sham.,0
Best game ever My brothers and I love Dr Panda,1
Keeps crashing Every time i join a mock draft it says the app has stopped working. Plz fix it ,0
Love it Plzzz add a red hair boy skin and others to we need more people to be .,1
Creepy Has any body asked if ben was there,1
Worth paying for Didn't actually need the pro features but thought I'd buy the licence just to show my appreciation for a great app,1
Cool game Ever had this feeling that while you're on the lead you want the race to stop so nobody else could take the lead and when you're losing you want the game to go on and on so you could get the lead,1
"Suck Have to unlock with gem, which I just use it one time on first level. So it is suck",0
Love I LOVE THIS GAME. You wouldn't think a game so simple could be so addictive but it is.  Thanx for making it.,1
Its boring,0
Useless Why is SAGA for free and I have to pay for this app Why does it say for free when i can'nt even lock in for free,0
Houston  we have a problem. Beware the aftermath of updates.  Great game except when it crashes.,1
"THE BEST BY FAR This is hands down the ultimate in billiards, you can view any angle, various degrees, dont look anywhere else, just download it and shutup",1
Mind blowing app My kid is in love with this,1
"Good game, but how do u make a guild",1
